CAC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,
B2C ,,,,,,,,,,,,,
Ads ,"?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?4,000","?48,000"
Creative ,?0,?0,?0,?0,?0,?0,?0,?0,?0,?0,?0,?0,?0
Software Subs (HubSpot etc) ,"?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?1,000","?12,000"
Media CAC,"?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?5,000","?60,000"
Salaries,"?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?2,550","?30,600"
Commissions,?179.00,?374.90,?273.55,?498.38,?357.60,?565.33,?350.78,?535.15,?284.64,?266.18,?178.63,?431.26,"?4,295"
Fully Loaded CAC ,"?7,729","?7,925","?7,824","?8,048","?7,908","?8,115","?7,901","?8,085","?7,835","?7,816","?7,729","?7,981","?94,895"
Sales WON,41,31,33,36,55,45,48,31,29,20,31,,400
B2C CAC ,?188.51,?255.64,?237.08,?223.57,?143.77,?180.34,?164.60,?260.81,?270.16,?390.81,?249.31,,?233.15
,,,,,,,,,,,,,
B2B ,,,,,,,,,,,,,
Printing (Brochures etc) ,,,,,,,,,,,,,
Events,,,,,,,,,,,,,
Travel & Subsistence,,,,,,,,,,,,,
Prospecting CAC,0,0,0,0,0,0,0,0,0,0,0,0,
Salaries ,,,,,,,,,,,,,
Commissions,,,,,,,,,,,,,
Fully Loaded CAC ,0,0,0,0,0,0,0,0,0,0,0,0,
Sales WON,,,,,,,,,,,,,
B2B CAC,,,,,,,,,,,,,
,,,,,,,,,,,,,
GROSS PROFIT,,,,,,,,,,,,,
MORNING SESSION,,,,,,,,,,,,,
HOURLY PRICE,?7.00,,,,,,,,,,,,
HOURS,15,,,,,,,,,,,,
WEEKLY PRICE,?105.00,,,,,,,,,,,,
MONTHLY PRICE,?420.00,,,,,,,,,,,,
,,,,,,,,,,,,,
TEACHER,?21.00,,,,,,,,,,,,
HOURS/WEEK,15,,,,,,,,,,,,
TEACHER ?/MONTH,"?1,260.00",,,,,,,,,,,,
MAX STUDENTS,15,,,,,,,,,,,,
COST PER CLIENT,?84.00,,,,,,,,,,,,
,,,,,,,,,,,,,
GROSS PROFIT,?336.00,,,,,,,,,,,,
GROSS MARGIN,80.00%,,,,,,,,,,,,
,,,,,,,,,,,,,
AFTERNOON SESSION,,,,,,,,,,,,,
HOURLY PRICE,?6.00,,,,,,,,,,,,
HOURS,15,,,,,,,,,,,,
WEEKLY PRICE,?90.00,,,,,,,,,,,,
MONTHLY PRICE,?360.00,,,,,,,,,,,,
,,,,,,,,,,,,,
TEACHER,?21.00,,,,,,,,,,,,
HOURS/WEEK,15,,,,,,,,,,,,
TEACHER ?/MONTH,"?1,260.00",,,,,,,,,,,,
MAX STUDENTS,15,,,,,,,,,,,,
COST PER CLIENT,?84.00,,,,,,,,,,,,
,,,,,,,,,,,,,
GROSS PROFIT,?276.00,,,,,,,,,,,,
GROSS MARGIN,76.67%,,,,,,,,,,,,
