Software / Hosting Transactions,,,,,,,,,
ULearn Limited,,,,,,,,,
For the period 1 January 2017 to 31 December 2024,,,,,,,,,
,,,,,,,,,
Date,Source,Description,Reference,Currency,Debit (Source),Credit (Source),Debit (EUR),Credit (EUR),Running Balance (EUR)
,,,,,,,,,
Software / Hosting,,,,,,,,,
02 Jan 2017,Payable Invoice,THE BING SOFTWARE - BING Software,2306,EUR,246.34,0.00,246.34,0.00,246.34
04 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        7,EUR,0.13,0.00,0.13,0.00,246.47
04 Jan 2017,Spend Money,ToutApp - Tout App Email Software,,EUR,28.63,0.00,28.63,0.00,275.10
04 Jan 2017,Spend Money,CARD - Github,,EUR,6.68,0.00,6.68,0.00,281.78
04 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.57,0.00,0.57,0.00,282.35
10 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        5,EUR,0.10,0.00,0.10,0.00,282.45
10 Jan 2017,Spend Money,Google - Android App ,P0801GB  7.99@.853632,EUR,9.36,0.00,9.36,0.00,291.81
10 Jan 2017,Spend Money,Occulus - app purchase - VR trainer,,EUR,4.75,0.00,4.75,0.00,296.56
11 Jan 2017,Payable Invoice,Blacknight - Linux Min Hosting,0962349,EUR,61.44,0.00,61.44,0.00,358.00
11 Jan 2017,Payable Invoice,MAILCHIMP - Jan Chimp,MC05457217,EUR,110.10,0.00,110.10,0.00,468.10
12 Jan 2017,Spend Money,Google - Google Android App School Phone,POS10JAN GOOGLE *Stra,EUR,7.99,0.00,7.99,0.00,476.09
13 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        9,EUR,0.19,0.00,0.19,0.00,476.28
13 Jan 2017,Spend Money,"GoDaddy.com, LLC - Domain purchase",,EUR,9.56,0.00,9.56,0.00,485.84
16 Jan 2017,Payable Invoice,Google - Google Suite,4572-9481-6302,EUR,54.12,0.00,54.12,0.00,539.96
17 Jan 2017,Spend Money,Google - Android App ,P1301GB  7.99@.869423,EUR,9.19,0.00,9.19,0.00,549.15
17 Jan 2017,Payable Invoice,Xero Subscription - Xero Jan Payment,IN-584290,EUR,28.15,0.00,28.15,0.00,577.30
19 Jan 2017,Spend Money,SOFTWARE - Software / Hosting,,EUR,33.20,0.00,33.20,0.00,610.50
20 Jan 2017,Spend Money,HighRise - Zopim Chat module,P1801US 49.00@1.06244,EUR,46.12,0.00,46.12,0.00,656.62
24 Jan 2017,Spend Money,SOFTWARE - Software / Hosting,POS22JAN ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,687.36
24 Jan 2017,Spend Money,Buffer - Syndication App,P2201US 10.00@1.06269,EUR,9.41,0.00,9.41,0.00,696.77
24 Jan 2017,Spend Money,Zopim - Zopim Chat module,P2001US 14.00@1.06221,EUR,13.18,0.00,13.18,0.00,709.95
30 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.56,0.00,0.56,0.00,710.51
31 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       20,EUR,0.38,0.00,0.38,0.00,710.89
31 Jan 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        2,EUR,0.05,0.00,0.05,0.00,710.94
31 Jan 2017,Spend Money,zapier - Zapier Web Zaps,P2801US 20.00@1.06553,EUR,18.77,0.00,18.77,0.00,729.71
31 Jan 2017,Spend Money,SOFTWARE - Software,P2701US  2.45@1.06521,EUR,2.30,0.00,2.30,0.00,732.01
31 Jan 2017,Spend Money,Blacknight - DSE Domain Transfer,,EUR,12.28,0.00,12.28,0.00,744.29
01 Feb 2017,Payable Invoice,THE BING SOFTWARE - The BING,2354,EUR,246.33,0.00,246.33,0.00,990.62
01 Feb 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.57,0.00,0.57,0.00,991.19
01 Feb 2017,Spend Money,Blacknight - hosting etc,,EUR,55.34,0.00,55.34,0.00,"1,046.53"
02 Feb 2017,Payable Invoice,Github - GitHub Repo,R8A6C2TQ,EUR,6.51,0.00,6.51,0.00,"1,053.04"
03 Feb 2017,Spend Money,Google - Google Apps Bus,POS01FEB GOOGLE *SVCS,EUR,57.28,0.00,57.28,0.00,"1,110.32"
06 Feb 2017,Spend Money,Github - Misc Software / Hosting,POS CHG USD        7,EUR,0.13,0.00,0.13,0.00,"1,110.45"
08 Feb 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        5,EUR,0.09,0.00,0.09,0.00,"1,110.54"
08 Feb 2017,Spend Money,Occulus - app purchase - VR trainer,,EUR,4.67,0.00,4.67,0.00,"1,115.21"
10 Feb 2017,Spend Money,Google - app,,EUR,9.39,0.00,9.39,0.00,"1,124.60"
11 Feb 2017,Payable Invoice,MAILCHIMP - maillchimp,mc-jan,EUR,99.99,0.00,99.99,0.00,"1,224.59"
21 Feb 2017,Spend Money,Blacknight - Hosting,,EUR,42.98,0.00,42.98,0.00,"1,267.57"
21 Feb 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       49,EUR,0.92,0.00,0.92,0.00,"1,268.49"
21 Feb 2017,Spend Money,CARD - HighRise - CRM,,EUR,46.21,0.00,46.21,0.00,"1,314.70"
23 Feb 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       14,EUR,0.27,0.00,0.27,0.00,"1,314.97"
23 Feb 2017,Spend Money,Buffer - Software,dollars amount,EUR,9.53,0.00,9.53,0.00,"1,324.50"
23 Feb 2017,Spend Money,CARD - Zopim,,EUR,13.30,0.00,13.30,0.00,"1,337.80"
24 Feb 2017,Spend Money,SOFTWARE - Software / Hosting,POS22FEB ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,"1,368.54"
24 Feb 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       10,EUR,0.19,0.00,0.19,0.00,"1,368.73"
26 Feb 2017,Payable Invoice,A2 Hosting - Hosting,1005749,EUR,306.59,0.00,306.59,0.00,"1,675.32"
28 Feb 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.57,0.00,0.57,0.00,"1,675.89"
28 Feb 2017,Payable Invoice,Google - G Suite Basic,851309745600472-45,EUR,59.04,0.00,59.04,0.00,"1,734.93"
28 Feb 2017,Spend Money,CARD - Xero Subscription,,EUR,28.42,0.00,28.42,0.00,"1,763.35"
01 Mar 2017,Spend Money,Google,,EUR,1.99,0.00,1.99,0.00,"1,765.34"
02 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.57,0.00,0.57,0.00,"1,765.91"
02 Mar 2017,Spend Money,CARD - ToutApp - email sales,,EUR,28.38,0.00,28.38,0.00,"1,794.29"
03 Mar 2017,Spend Money,Google - Google Apps Bus,POS01MAR GOOGLE *SVCS,EUR,59.04,0.00,59.04,0.00,"1,853.33"
06 Mar 2017,Spend Money,Occulus - VR Trainer,,EUR,1.99,0.00,1.99,0.00,"1,855.32"
