CAC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,
B2C ,,,,,,,,,,,,,
Ads ,"€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€4,000","€48,000"
Creative ,€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,€0
Software Subs (HubSpot etc) ,"€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€1,000","€12,000"
Media CAC,"€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€5,000","€60,000"
Salaries,"€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€2,550","€30,600"
Commissions,€179.00,€374.90,€273.55,€498.38,€357.60,€565.33,€350.78,€535.15,€284.64,€266.18,€178.63,€431.26,"€4,295"
Fully Loaded CAC ,"€7,729","€7,925","€7,824","€8,048","€7,908","€8,115","€7,901","€8,085","€7,835","€7,816","€7,729","€7,981","€94,895"
Sales WON,41,31,33,36,55,45,48,31,29,20,31,,400
B2C CAC ,€188.51,€255.64,€237.08,€223.57,€143.77,€180.34,€164.60,€260.81,€270.16,€390.81,€249.31,,€233.15
,,,,,,,,,,,,,
GROSS PROFIT,,,,,,PAY BACK PERIOD (Cash Conversion Cycle) ,,,,,,,
MORNING SESSION,,,AFTERNOON SESSION,,,MORNING,MONTH #1,MONTH #2,,,,,
HOURLY PRICE,€7.00,,HOURLY PRICE,€6.00,,GROSS PROFIT,€336.00,€336.00,,,,,
HOURS,15,,HOURS,15,,CAC,€233.15,0,,,,,
WEEKLY PRICE,€105.00,,WEEKLY PRICE,€90.00,,Upsell [Anything],,,,,,,
MONTHLY PRICE,€420.00,,MONTHLY PRICE,€360.00,,BALANCE,€102.85,€438.85,,,,,
,,,,,,,,,,,,,
TEACHER,€21.00,,TEACHER,€21.00,,,,,,,,,
HOURS/WEEK,15,,HOURS/WEEK,15,,AFTERNOON,MONTH #1,MONTH #2,,,,,
TEACHER €/MONTH,"€1,260.00",,TEACHER €/MONTH,"€1,260.00",,GROSS PROFIT,€276.00,€276.00,,,,,
MAX STUDENTS,15,,MAX STUDENTS,15,,CAC,€233.15,0,,,,,
COST PER CLIENT,€84.00,,COST PER CLIENT,€84.00,,Upsell [Anything],,,,,,,
,,,,,,BALANCE,-€42.85,€233.15,,,,,
GROSS PROFIT,€336.00,,GROSS PROFIT,€276.00,,,,,,,,,
GROSS MARGIN,80.00%,,GROSS MARGIN,76.67%,,,,,,,,,
,,,,,,,,,,,,,
CAC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,
B2B ,,,,,,,,,,,,,
Printing (Brochures etc) ,,,,,,,,,,,,,
Events,,,,,,,,,,,,,
Travel & Subsistence,,,,,,,,,,,,,
Prospecting CAC,0,0,0,0,0,0,0,0,0,0,0,0,
Partner Commissions,,,,,,,,,,,,,
Salaries Cenker,"€3,550","€3,550","€3,550","€3,550","€3,550","€3,550","€3,550","€3,550","€3,550","€3,550","€3,550","€3,550",
Salaries Sara ,,,,,,,,,,,,,
Staff Commissions,€0.00,€977.98,€0.00,"€1,690.88",€0.00,"€1,250.34",€208.96,€338.77,€448.81,€356.83,€0.00,€531.13,
Fully Loaded CAC ,3550,4527.98,3550,5240.88,3550,4800.34,3758.96,3888.77,3998.81,3906.83,3550,4081.13,
Sales WON,,,,,,,,,,,,,
B2B CAC,,,,,,,,,,,,,
,,,,,,,,,,,,,
GROSS PROFIT,,,,,,PAY BACK PERIOD (Cash Conversion Cycle) ,,,,,,,
MORNING SESSION,,,AFTERNOON SESSION,,,MORNING,MONTH #1,MONTH #2,,,,,
HOURLY PRICE,€7.00,,HOURLY PRICE,€6.00,,GROSS PROFIT,€336.00,€336.00,,,,,
HOURS,15,,HOURS,15,,CAC,€0.00,0,,,,,
WEEKLY PRICE,€105.00,,WEEKLY PRICE,€90.00,,Upsell [Anything],,,,,,,
MONTHLY PRICE,€420.00,,MONTHLY PRICE,€360.00,,BALANCE,€336.00,€672.00,,,,,
,,,,,,,,,,,,,
TEACHER,€21.00,,TEACHER,€21.00,,,,,,,,,
HOURS/WEEK,15,,HOURS/WEEK,15,,AFTERNOON,MONTH #1,MONTH #2,,,,,
TEACHER €/MONTH,"€1,260.00",,TEACHER €/MONTH,"€1,260.00",,GROSS PROFIT,€276.00,€276.00,,,,,
MAX STUDENTS,15,,MAX STUDENTS,15,,CAC,€0.00,0,,,,,
COST PER CLIENT,€84.00,,COST PER CLIENT,€84.00,,Upsell [Anything],,,,,,,
,,,,,,BALANCE,-€276.00,€0.00,,,,,
GROSS PROFIT,€336.00,,GROSS PROFIT,€276.00,,,,,,,,,
GROSS MARGIN,80.00%,,GROSS MARGIN,76.67%,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CFA (Client Financed Acquisition) ,,,,,,,,,,,,,
LEVEL 1,LifeTime GP > CAC ,Duh…,,,,,,,,,,,
LEVEL 2,30 Day GP > CAC,"Now we're moving - every month you can double (2, 4, 8, 16 etc) ",,,,,,,,,,,
,MONTHLY,# NEW CUSTOMERS,TOTAL CUSTOMERS,,,,,,,,,,
,1,1,1,,,,,,,,,,
,2,2,3,,,,,,,,,,
,3,4,7,,,,,,,,,,
,4,8,15,,,,,,,,,,
,5,16,31,,,,,,,,,,
,6,32,63,,,,,,,,,,
,7,64,127,,,,,,,,,,
,8,128,255,,,,,,,,,,
,9,256,511,,,,,,,,,,
,10,512,1023,,,,,,,,,,
,11,1024,2047,,,,,,,,,,
,12,2048,4095,,,,,,,,,,
,,,,,,,,,,,,,
LEVEL 3,30 GP > 2 X CAC ,Hormozi level scaling (exponential) ,,,,,,,,,,,
,, => That way one customer pays you back and also pays,,,,,,,,,,,
,,for the next customer. So after you repay the original CAC spend,,,,,,,,,,,
,,you have enough money to buy another customer,,,,,,,,,,,
,,"You are using ""house money"" ",,,,,,,,,,,
,,This could scale DAILY instead of MONTHLY - as soon as you get another,,,,,,,,,,,
,,customer you have the cash to acquire the next customers ,,,,,,,,,,,
